2501186|0
25013166|0
25015326|19
2501218412|0
25012186|0
25012332412|96
25034185|1792
25034186|0
250343165|66
250343166|0
250343325|215
250343326|83
250345325|244
250345326|0
25058185|0
25058186|0
250583165|80
250583325|192
250585325|252
250585326|0
25078186|0
250783166|30
250785326|1
2551126|0
255118412|0
2551186|0
25513166|4
2551386|0
25515326|41
2551218412|0
25512186|83
25512332412|30
25534126|0
25534185|37
25534186|0
255343165|28
255343166|0
255343325|142
255343326|93
25534386|0
255345325|231
255345326|0
25558126|0
25558185|197
25558186|0
255583325|91
25558386|0
255585325|400
255585326|0
25578126|0
25578186|2
255783166|88
255785326|0
210016|0
210017|51
210018|28
210124|0
210125|0
210126|0
210128|68
21014212|0
210143|0
210144|0
210145|104
210146|0
210148|40
210316212|205
2103163|90
2103164|0
210345|74
210346|0
210348|32
210383|555
21038312|140
210384|0
210385|0
210386|0
210388|0
210516212|0
2105163|0
2105164|0
2105165|36
2105166|0
2105168|133
210584|0
21058412|0
210585|0
210586|0
210588|43
210716312|126
2107164|63
2107166|0
210785|36
210786|272
210788|242
215016|86
215017|28
215018|0
215124|0
215125|43
215126|0
215128|90
21514212|0
215143|4
215144|0
215145|0
215146|0
215148|0
215316212|101
2153163|105
2153164|0
215345|0
215346|0
215348|20
215383|43
21538312|68
215384|1900
215385|204
215386|0
215388|47
215516212|146
2155163|100
2155164|0
2155166|0
2155168|74
21558412|0
215585|0
215586|0
215588|44
215716312|32
2157164|148
2157166|48
215785|0
215786|21
215788|51
230124|4
230126|0
23014212|367
230144|0
230146|0
230183|213
23010100|52
23012100|417
23012150|0
23014100|29
23014150|65
23015100|131
23016100|0
23016150|0
23018100|51
23018150|63
2300260|5177
2302560|0
23020100|36
23020150|60
23003100|270
2300360|22
2303163|0
2303164|156
230383|469
230384|0
230386|304
23004100|0
2300460|0
23005100|782
2305164|185
230584|13
230586|42
23006100|0
23007100|167
2307164|70
2307166|14
230786|0
23008100|0
23009100|279
235124|0
235126|138
235144|61
235184|214
23510100|421
23512100|147
23512150|0
23514100|8
23514150|82
23515100|48
23516100|0
23516150|29
23518100|13
23518150|67
2350260|24
23502560|0
23520100|0
23520150|67
23503100|0
2353163|82
2353164|83
235383|124
235384|0
235386|81
23504100|0
2350460|0
23505100|0
2355164|0
235584|45
