23514100|110
23516150|130
23518100|161
2350460|207
23508100|107
8400125|0
8400315|2530
8400630|1425
8100050|500
8100001|20
8150001|63
8200001|30
8150150|0
820112O|5
8201132|30
820114|20
820118|815
8150116|1511
8100012|1190
8150012|1250
8200012|98
8100014|5300
8150014|16950
8100018|21500
8150018|10000
8101000|5650
8151000|6752
8301000|60
8301000T|150
8201000|97
8101020|900
8101050|2120
8151050|290
8101100|2910
8151100|670
8201100|150
8101150|600
8151190|0
8101116|399
8151116|300
8201116|64
8101132|650
8101164|4400
8151164|2500
8101200|2340
8151200|1580
8201200T|19
8101250|720
8151250|445
8101290|500
8101300|1250
8151300|185
8301300|100
8101310|99
8101350|400
8151350|360
8151332|200
8101364|5500
8151364|1500
8101400|1210
8151400|740
8301400|57
8201400|100
8101450|280
8151450|275
8101500|380
8151500|370
8201500|99
8201500O|100
8101550|125
8151532|100
8101564|1700
8101600|330
8151600|189
8101650|285
8101700|530
8151700|175
8101750|130
8151750|112
8201750|79
8101732|0
8151732|52
8101764|640
8101800|275
8151800|223
8201800|94
8101850|128
8101900|212
8151900|115
8201900|4
8151950|98
8101964|200
8151964|300
8150200|1500
820238|3
8102000|65
8152000|20
8102050|40
8102100|30
8152100|56
8102150|47
8152150|38
8202150|9
8152164|200
8102200|80
8152200|30
8202200|80
8102250|50
8102300|32
8102364|180
8152364|500
8102400|480
8202400|60
8202500|90
8202550|12
8202600|50
8202600T|30
8202700|13
8202700T|30
8202800|80
8202800T|30
8100300|17500
8150300|1500
8150325|450
8100330|10000
8150340|0
8100350|24900
8150350|16840
8300350|500
8300350T|200
8100316|14500
8150316|12850
8100034|518
8150034|275
8150364|500
8100038|11200
8150038|2600
8203000|42
8203200|17
8203500|24
8203600|30
8203800|15
8203950|9
8100400|18000
8150400|12000
8300410|50
8100420|6300
8150420|2100
8100450|14500
8150450|400
8150475|1500
8100490|1000
8204000|28
8104164|50
8100500|2800
8150500|29500
8300500|490
8300520|0
8150525|2600
8100530|500
8100550|10900
8150550|1600
8150675|2000
8100516|4000
8150516|3600
8150532|6000
8150564|2300
8100058|0
8150058|280
8200058|40
8205200|5
8100600|15600
8150600|7850
8100620|500
8100650|13300
8150650|18345
8300650|400
8100700|6050
8150700|500
8150720|200
8150730|1000
8100750|2000
8150750|1400
8100716|0
8150716|640
8100732|850
8150732|3050
8100078|84
8150078|90
8100800|7150
8150800|10770
8300800|0
8300800T|100
8150850|600
8100900|5160
8150900|3830
8300900|150
8100920|200
8150925|50
8100950|1600
8150950|1050
8100980|190
8100916|235
8150916|270
8100964|20700
8150964|13300
MCD0011000|10
MCD0011050|30
MCD0011200|10
MCD0011300|30
MCD0010850|60
MCD0010900|40
MCD0010950|80
8701000|4550
8721000|1230
8701200|6200
8700350|2000
8700550|6000
8720600|13000
8700700|12000
64000121|60
640101|300
640102|928
640141|265
640161|406
620181|51
640201|252
640202|60
620221|30
640251|156
640041|520
620052|200
640081|0
641101|207
641102|135
621122|140
641121|152
641131|157
641141|139
641162|159
MCM0061000|60
MCM0191200|40
MCM0011300|60
MCM0191400|30
MCM0151800|25
MCM0191800|30
MCM0010350|60
MCM0010650|90
MCM0190700|60
800119|520
800125|502
800229|330
305E1016|90
304A1020|100
303A1020|200
304B1020|70
305B1020|80
303C1020|50
304F1020|850
303F1020|1000
304G1020|500
303M1020|160
305H1025|70
304H1025|230
304L1025|150
305L1025|300
305K1005|90
303D1210|100
305J1210|90
304E1220|250
303E1220|100
305A1225|90
304A1225|300
303A1225|100
303B1225|300
305B1225|150
303C1225|0
304C1225|310
305C1225|130
305F1225|30
304F1225|1800
303F1225|800
304G1225|975
303G1225|1500
304M1225|0
303M1225|30
303L1228|150
304L1228|80
303H1232|400
305K1206|90
305B1625|150
303C1625|10
304C1625|50
305G1625|90
304M1625|250
303M0311|100
304B0313|0
305B0313|90
303C0313|100
304F0313|50
303B0413|30
305C0413|90
303D0403|60
304A0616|170
303B0616|0
304B0616|70
303C0616|60
303L0616|250
305F0618|90
304F0618|50
305H0618|90
303D0605|100
305J0605|90
303J0605|60
304E0813|0
305J0813|90
304A0820|150
303B0820|200
303C0820|100
304C0820|170
303H0820|80
303L0820|150
551104|400
551124|370
551064|250
551084|300
55214154|210
55216154|75
5522024|190
55280754|60
5061145|33
506125|83
506145|190
506185|200
506015|20
506345|10
506385|15
506785|15
5051146|0
5051186|18
505146|398
505144|0
505184|300
5053166|299
5053164|300
505344|100
505586|48
505584|138
5057164|200
5057324|225
505786|2
505784|0
501106|210
501104|490
501126|230
501124|300
501146|150
501144|120
501166|60
501164|220
501186|139
501204|60
501244|30
501276|15
501034|300
501304|0
501046|605
501044|600
5010454|100
501056|530
501054|0
501063|200
501066|520
501064|2370
501086|490
501084|390
502101255|120
502121255|420
50212155|200
50214155|135
50216155|103
50218155|36
5021825|2
5022015|72
50222155|80
5022225|34
5022425|0
50226155|25
50227155|0
502813|9
5811143|49
581123|490
581183|800
581343|40
581383|276
553144|217
553014|80
5031144|12
5031186|16
503126|130
503146|200
503016|11
503386|380
5035165|100
5035166|150
5037166|220
503106|270
503104|220
554344|200
5545164|0
554784|150
5041145|25
504125|100
504145|190
504345|85
504385|230
5045165|190
504585|70
504105|250
456214|60
456218|100
456318|52
