BR-434|1|25.49|22.36
BR-437|1|46.96|41.19
BR-437ST|1|47.04|41.25
HE-557|1|9.76|8.56
HE-561|1|13.97|12.25
HE-562|1|13.81|12.11
HE-563|1|12.39|10.86
HE-566|1|22.42|19.66
C-203|1|63.92|56.06
C-204|1|102.43|89.83
CS-253|1|128.31|123.82
CS-254|1|176.34|154.65
PR-906|1|91.26|80.03
PR-912|1|182.78|160.30
MLH-001|1|6.04|4.74
MLH-002|1|5.00|3.92
MLH-003|1|5.03|3.95
MLH-004|1|6.86|5.39
MLH-005|1|6.86|5.39
MLH-006|1|7.27|5.71
MLH-008|1|12.00|9.42
MLH-011|1|15.43|12.11
MLH-012|1|25.31|19.87
MLH-013|1|32.58|25.57
MLH-014|1|38.13|29.93
MLH-016|1|6.04|4.74
MLH-017|1|6.04|4.74
MLH-019|1|6.86|5.39
MLH-030|1|6.04|4.74
MLH-031|1|5.03|3.95
MLH-032|1|6.04|4.74
MLH-034|1|5.72|4.49
MLH-043|1|32.58|25.57
MLH-046|1|5.03|3.95
MLH-047|1|6.04|4.74
MLH-048|1|6.04|4.74
MLH-060A|1|3.93|3.09
MLH-069|1|15.43|12.11
MLH-073D|1|10.61|8.33
MLH-075|1|13.31|10.45
MLH-080|1|97.33|76.40
MRH-001|1|15.27|11.99
MRH-002|1|15.27|11.99
MRH-003|1|12.21|9.59
MRH-013|1|136.52|107.16
MRH-014|1|164.36|129.02
MRH-015A|1|8.47|6.65
MRH-018A|1|10.21|8.01
MRH-031|1|10.78|8.46
MRH-032|1|10.78|8.46
MRH-034|1|12.16|9.55
MRH-040|1|38.21|30.00
MRH-041|1|45.80|35.96
MRH-043|1|90.71|71.21
MRH-059|1|164.36|129.02
MRH-060|1|12.16|9.55
MRH-061|1|16.16|12.69
MRH-062|1|19.76|15.51
MRH-064|1|26.54|20.83
MRH-069|1|45.80|35.96
MRH-078|1|132.92|104.35
MRH-081|1|15.27|11.99
MRH-087|1|31.31|24.58
