H-412AS|17.28|15.55
H-413A|25.31|22.78
H-413AS|25.42|22.88
H-414A|34.44|31.00
H-501|9.93|8.94
H-501S|10.67|9.60
H-502|9.41|8.47
H-502S|10.11|9.10
H-503|14.62|13.16
H-503S|15.33|13.80
H-504|14.47|13.02
H-504S|15.11|13.60
HL-501|13.52|12.17
HL-502|13.52|12.17
HL-503|17.37|15.63
HL-504|17.57|15.81
BRST-431|11.02|9.91
BRST-432|15.03|13.53
BRST-434|21.47|19.32
BRST-435|23.53|21.18
BRST-437|43.48|39.14
BRST-438|44.43|39.99
H-012|48.50|43.65
H-013|57.04|51.34
H-014|97.69|87.92
H-134|94.38|84.94
H-113|91.73|82.56
H-114|144.12|129.71
H-115|277.16|249.44
HT-323-B|163.17|146.85
HT-323-D|222.93|200.64
HT-324-B|169.58|152.62
HT-324-E|233.33|210.00
HT-324-C|244.44|220.00
HEST-556|8.89|8.00
HEST-557|8.67|7.80
HEST-561|10.97|9.87
HEST-562|11.39|10.25
HEST-563|11.88|10.69
HEST-564|13.50|12.15
HEST-564-B|22.32|20.09
HEST-565|19.37|17.43
HEST-566|20.22|18.20
HEST-567|22.54|20.29
HJST-513|13.30|11.97
HJST-518|22.58|20.32
SU-407|9.43|8.49
SU-409|13.50|12.15
SU-413|13.76|12.38
SU-415|20.61|18.55
SU-417|16.09|14.48
SU-419|20.60|18.54
SU-420|26.92|24.23
SU-421|30.78|27.70
SU-422|42.39|38.15
SU-423|23.72|21.35
SU-427|25.02|22.52
SU-428|33.87|30.48
SU-429|37.29|33.56
SU-430|54.69|49.22
SU-431|44.09|39.68
SU-432|50.88|45.79
SU-433|58.89|53.00
SU-435|72.07|64.86
SU-436|83.74|75.37
SU-439|148.43|133.59
SU-441|145.47|130.92
SU-443|190.70|171.63
SU-602A|3.02|2.72
SU-603|2.06|1.85
SU-604|2.79|2.51
SU-605|4.71|4.24
SU-606|6.24|5.62
SU-608|10.01|9.01
SU-609|13.69|12.32
SU-610|11.46|10.31
SU-613|20.46|18.41
SU-615|35.13|31.62
SU-616|49.88|44.89
SU-617|36.09|32.48
SU-618|56.49|50.84
SU-621|60.07|54.06
SU-623|72.39|65.15
SU-625|95.23|85.71
SU-704|7.93|7.14
SU-708|13.12|11.81
SU-712|24.01|21.61
SU-714|37.99|34.19
UL-003|2.07|1.86
UL-008|3.52|3.17
UL-010|6.00|5.40
UL-014|4.38|3.94
UL-016|8.27|7.44
UL-018|4.92|4.43
UL-020|5.79|5.21
UL-022|8.74|7.87
UL-023|15.58|14.02
UL-028|9.30|8.37
UL-029|13.04|11.74
UL-030|13.78|12.40
UL-031|22.82|20.54
UL-032|18.83|16.95
UL-034|25.58|23.02
UL-037|33.18|29.86
UL-204|2.59|2.33
UL-206|3.73|3.36
UL-208|5.30|4.77
UL-210|8.52|7.67
UL-213|13.63|12.27
SU-500|12.29|11.06
SU-502|12.47|11.22
SU-504|15.74|14.17
SU-507|16.20|14.58
SU-508|18.94|17.05
SU-515|18.71|16.84
SU-516|22.67|20.40
SU-520|26.04|23.44
SU-522|24.74|22.27
SU-524|30.23|27.21
SU-525|25.20|22.68
SU-527|30.58|27.52
UL-104|7.56|6.80
UL-107|7.42|6.68
UL-108|8.30|7.47
UL-115|8.94|8.05
UL-116|9.57|8.61
UL-120|17.20|15.48
UL-122|13.11|11.80
UL-125|14.28|12.85
UL-127|22.83|20.55
CM-501|16.96|15.26
CM-502|17.35|15.62
CM-503|17.29|15.56
CM-504|17.00|15.30
CM-505|18.18|16.36
CM-506|18.17|16.35
CM-509|25.92|23.33
CM-510|26.41|23.77
CM-511|27.30|24.57
CM-512|30.40|27.36
CM-513|25.94|23.35
