5|TM-219|24.19|26.61
2|TM-221|24.20|26.62
2|TM-222|37.5|41.25
2|TM-224|46.29|50.92
2|TM-225|38.61|42.47
30|TM-303|2.15|2.37
20|TM-308|7.71|8.48
10|TM-310|10.19|11.21
10|TM-312|13.75|15.13
10|TM-313|19.86|21.85
6|TM-314|18.46|20.31
4|TM-317|40.24|44.26
5|UL-218|27.75|30.53
3|UL-220|36.35|39.99
