18142|6.52|5.93
18143|7|6.36
18144|7.19|6.54
18145|7.69|7
18146|7.69|7
18147|8.8|8
18148|10.52|9.56
18149|12.22|11.11
18141|13.24|12.04
18150|18.51|16.83
18151|20.54|18.68
18152|27.24|24.77
18153|34.8|31.64
18154|40.87|37.16
18155|6.52|5.93
18156|8.17|7.43
18157|6.85|6.23
18158|7.69|7
18159|8.84|8.04
18160|7.69|7
18161|8.72|7.93
18162|10.52|9.56
18163|12.22|11.11
18164|13.18|11.98
18165|20.64|18.76
18166|24.57|22.34
18167|32.21|29.28
18168|40.48|36.8
18169|48.91|44.47
18170|6.52|5.93
18171|6.85|6.23
18172|6.85|6.23
18173|7.7|7
18174|8.7|7.91
18175|7.92|7.2
18176|10.05|9.14
18177|11.61|10.56
18178|13.04|11.85
18179|15.04|13.68
18180|16.51|15.01
18181|21.03|19.12
18182|27.71|25.2
18183|41.19|37.45
18184|41.58|37.8
18185|6.6|6
18244|13.37|12.16
18186|6.77|6.16
18187|7.19|6.54
18188|7.69|7
18189|8.9|8.1
18190|10.05|9.14
18191|11.7|10.64
18192|13.66|12.42
18193|17.8|16.18
18194|21.55|19.59
18195|25.59|23.27
18196|28.82|26.2
18197|35.04|31.86
18198|39.29|35.72
18312|4.69|4.26
18313|7.21|6.55
18299|7.21|6.55
18300|7.21|6.55
18301|8.39|7.63
18302|8.39|7.63
18303|8.39|7.63
18304|11.51|10.46
18305|11.51|10.46
18306|13.46|12.24
18307|13.46|12.24
18308|18.14|16.49
18309|19.51|17.74
18310|23.79|21.63
18311|27.31|24.83
18279|16.38|14.89
18278|21.46|19.51
18280|30.44|27.68
18276|39.01|35.46
18277|54.63|49.66
18275|105.34|95.76
18199|12.84|11.67
18200|12.84|11.67
18201|13.87|12.61
18202|16.43|14.94
18203|16.43|14.94
18204|23.45|21.32
18205|27.18|24.71
18206|36.23|32.93
18207|36.23|32.93
18208|51.57|46.88
18209|62.39|56.72
18210|105.72|96.11
18211|131.04|119.13
18212|186.1|169.18
18213|12.84|11.67
18214|12.84|11.67
18215|12.84|11.67
18216|13.87|12.61
18217|16.43|14.94
18218|16.43|14.94
18219|23.45|21.32
18220|27.18|24.71
18221|36.23|32.93
18222|36.23|32.93
18223|51.57|46.88
18224|62.39|56.72
18225|105.72|96.11
18226|131.04|119.13
18227|186.1|169.18
18228|15.4|14
18229|8.8|8
18230|8.8|8
18231|9.24|8.4
18232|13.12|11.93
18233|10.95|9.96
18234|15.63|14.21
18235|18.11|16.47
18236|24.15|21.96
18237|24.15|21.96
18238|34.38|31.25
18239|41.59|37.81
18240|70.49|64.09
18241|87.37|79.43
18242|124.03|112.75
18243|12.84|11.67
18245|12.84|11.67
18246|12.84|11.67
18247|13.87|12.61
18248|16.43|14.94
18249|19.01|17.28
18250|23.45|21.32
18251|27.18|24.71
18252|36.23|32.93
18253|51.57|46.88
18254|62.39|56.72
18255|88.96|80.87
18256|105.72|96.11
18257|131.04|119.13
18258|162.14|147.4
18259|10.95|9.96
18260|15.61|14.19
18261|18.11|16.47
18262|18.11|16.47
18263|24.15|21.96
18264|24.15|21.96
18265|24.15|21.96
18266|34.38|31.25
18267|34.38|31.25
18268|41.59|37.81
18269|41.59|37.81
18270|59.3|53.91
18271|70.48|64.08
18272|87.37|79.43
18273|108.17|98.34
18293|31.31|28.47
18294|43.56|39.6
18295|58.54|53.22
18296|85.76|77.97
18297|147.02|133.65
18298|264.02|240.02
18287|16.34|14.85
18288|21.78|19.8
18289|28.59|25.99
18290|43.56|39.6
18291|73.51|66.83
18292|130.68|118.8
18274|33.8|30.73
