2|177.11|1|73.65|1|70.14
3|200.86|1|83.52|1|79.54
4|335.22|1|139.39|1|132.75
5|442.39|1|183.94|1|175.18
6|289.25|1|116.91|1|111.34
7|359.33|1|145.91|1|138.96
8|534.39|1|217.38|1|207.03
9|1105.83|1|451.94|1|430.42
10|1843.50|1|745.61|1|710.10
15|208.53|0|0.00|0|0.00
16|473.22|1|158.92|1|151.35
17|664.97|1|221.73|1|211.17
18|1384.53|1|451.16|1|429.68
19|2492.17|1|835.81|1|796.01
22|316.06|1|125.48|1|119.50
23|394.11|1|157.49|1|149.99
24|590.86|1|230.38|1|219.41
25|1209.53|1|485.86|1|462.72
27|669.47|1|261.82|1|249.35
28|758.33|1|309.00|1|294.29
29|756.61|1|314.59|1|299.61
30|921.97|1|328.16|1|312.53
31|1301.61|1|507.95|1|483.76
32|1270.33|1|520.94|1|496.13
33|782.78|1|325.48|1|309.98
34|981.67|1|371.64|1|353.94
35|1333.03|1|523.73|1|498.79
36|1301.67|1|514.52|1|490.02
37|3115.92|1|1295.60|1|1233.90
38|1498.53|1|578.42|1|550.88
39|1445.83|1|560.41|1|533.72
40|3333.75|1|1386.18|1|1320.17
41|6674.33|1|2775.18|1|2643.03
42|3722.83|1|1543.19|1|1469.70
43|6840.78|1|2844.40|1|2708.95
46|59.83|1|24.19|1|23.04
47|98.97|1|39.90|1|38.00
51|102.00|1|42.41|1|40.39
52|154.00|1|62.70|1|59.71
53|218.78|1|90.97|1|86.64
54|550.89|1|229.07|1|218.16
61|1088.39|1|352.71|1|335.91
62|1116.83|1|380.31|1|362.20
63|1378.75|1|471.67|1|449.21
64|1103.25|1|358.94|1|341.85
65|1283.61|1|431.22|1|410.69
66|2192.69|1|678.56|1|646.25
67|1357.06|1|500.88|1|477.03
68|2238.89|1|660.40|1|628.95
77|6.92|12|2.22|12|2.11
78|10.36|12|2.99|12|2.85
79|13.33|12|3.77|12|3.59
80|31.78|12|8.99|12|8.56
81|54.89|6|14.37|6|13.69
84|14.64|12|4.18|12|3.98
85|3.58|25|1.47|25|1.40
86|5.14|50|2.13|50|2.03
87|9.22|25|3.24|25|3.09
88|14.92|12|5.53|12|5.27
95|3534.53|1|1306.36|1|1244.15
97|430.44|1|157.35|1|149.86
98|2110.00|1|775.93|1|738.98
99|2440.67|1|902.07|1|859.11
100|2480.53|1|907.81|1|864.58
101|2840.31|1|1049.78|1|999.79
102|3963.39|1|1464.87|1|1395.11
103|2779.56|1|1167.59|1|1111.99
104|4387.83|1|1824.46|1|1737.58
105|4683.42|1|1947.36|1|1854.63
106|21.03|1|8.26|1|7.87
107|22.61|1|8.78|1|8.36
108|29.36|1|11.39|1|10.85
109|31.42|1|12.19|1|11.61
110|39.25|1|18.04|1|17.18
111|40.00|1|17.77|1|16.92
112|55.00|1|27.90|1|26.57
113|55.47|1|25.41|1|24.20
114|84.00|1|38.52|1|36.69
115|84.00|1|38.91|1|37.06
116|144.00|1|56.55|1|53.86
117|144.00|1|59.71|1|56.87
120|410.31|1|161.12|1|153.45
147|34.61|1|13.43|1|12.79
148|35.00|1|13.59|1|12.94
149|37.22|1|14.97|1|14.26
150|38.00|1|14.75|1|14.05
151|50.33|1|21.29|1|20.28
152|54.47|1|22.19|1|21.13
153|71.33|1|28.94|1|27.56
154|71.28|1|29.03|1|27.65
155|93.61|1|39.74|1|37.85
156|95.89|1|38.91|1|37.06
157|153.47|1|59.56|1|56.72
