341|SP|1|31|Aracatuba|0|2293500|18|0|18|2293432
409|SP|1|31|Aracoiaba|0|2294133|85|0|85|2295697
587|SP|1|31|Aracuai|0|2295100|33|0|33|2291744
554|SP|1|31|Aracuai|0|2295377|33|0|33|2286695
41|SP|1|31|Aracuai|0|2295970|33|2297190|33|0
531|SA|0|31|Aracuai|0|2299430|33|2290172|33|0
618|SP|1|31|ARACATUBA|0|2299535|18|32073644|18|2284152
68|SP|1|31|ARACATUBA|0|2418733|18|0|18|0
394|SP|1|31|Aracu|0|2587800|62|2592779|62|2589678
225|SP|1|31|Aragarcas|0|2590144|64|2393079|64|370888
175|SP|1|31|Aragarcas|0|2611937|64|2614715|64|2614585
346|SP|1|31|Aragarcas|0|2618133|64|0|64|2603113
428|SP|1|31|Araguaina|0|2622737|63|0|63|657145
466|SP|1|31|Araguaina|0|2655450|63|2663535|63|4924248
321|SP|1|31|Araguaina|0|2656273|63|0|63|2658032
504|SP|1|31|Araguaina|0|2660511|63|2660891|63|8577266
517|SP|1|31|Araguaina|0|2661160|63|0|63|2664811
328|SP|1|31|Araguaina|0|2663388|63|0|63|2664489
240|SP|1|31|Araguaina|0|2703400|63|2703199|63|2701617
967|SP|1|31|Araguaina|0|2703482|63|2703305|63|2703482
363|SP|1|31|Araguaina|0|2707020|63|2776358|63|2707020
226|SP|1|31|Araguaina|0|2708043|63|0|63|0
510|SP|1|31|Araguaina|0|2716522|63|0|63|2716522
212|SP|1|31|Araguaina|0|2722000|63|0|63|0
573|SP|1|31|Arambare|0|2723211|51|2749272|51|2723211
273|SP|1|31|Ararangua|0|2747722|48|0|48|0
560|0|0|31|Ararangua|0|2748776|48|0|48|2743711
711|SP|1|31|Ararangua|0|2748922|48|0|48|2733571
353|SP|1|31|Ararangua|0|2786599|48|2786291|48|2707661
90|SP|1|31|Ararangua|0|2787599|48|2700399|48|2783480
89|SP|1|31|Ararangua|0|2792102|48|2793362|48|2784931
65|SP|1|31|Ararangua|0|2843033|48|2849199|48|2849199
342|SP|1|31|Ararangua|0|2886544|48|2886778|48|0
302|SP|1|31|Ararica|0|2912545|51|0|51|6085162
220|SP|1|31|Araucaria|0|2916033|41|0|41|0
379|SP|1|31|Araucaria|0|2918500|41|0|41|2922600
111|SP|1|31|Araucaria|0|2920122|41|0|41|2920614
110|SP|1|31|Araucaria|0|2928908|41|0|41|0
199|SP|1|31|Araucaria|0|2932969|41|2953313|41|2950080
448|SP|1|31|Araucaria|0|2937266|41|0|41|961913610
257|SP|1|31|Araucaria|0|2938700|41|0|41|0
127|SP|1|31|Araucaria|0|2949105|41|0|41|2949105
385|SP|1|31|Araucaria|0|2949600|41|0|41|2964039
440|SP|1|31|Araucaria|0|2949966|41|0|41|0
71|SP|1|31|Araucaria|0|2956446|41|0|41|0
286|SP|1|31|Araxa|0|2966966|34|0|34|0
680|SP|1|31|Araxa|0|2967440|34|0|34|2967586
472|SP|1|31|Araxa|0|2969222|34|0|34|2969222
2153|SP|1|31|Araxa|0|3225072|34|33375379|34|0
1910||0|27|Araxa|3|3461324|34|70873142|34|0
229|SP|1|31|Araxa|0|4182486|34|0|34|0
143|SP|1|31|Araxa|0|4197833|34|0|34|0
255|SP|1|31|Areia Branca dos Assis|0|4484266|0|0|0|4435728
154|SP|1|31|Areias de Baixo|0|4567899|0|4561890|0|4562033
365|SP|1|31|Arenapolis|0|4643999|65|0|65|4643999
250|SP|1|31|Aripuana|0|4835055|66|0|66|4835758
231|SP|1|31|Aripuana|0|5203929|66|0|66|0
474|SA|0|31|Armacao da Piedade|0|5223021|0|0|0|5245858
145|SP|1|31|Armacao do Pantano do Sul|0|5230058|0|5218911|0|0
58|SP|1|31|Armazem|0|5239142|48|0|48|5214271
290|SP|1|31|Armazem|0|5241522|48|0|48|0
345|RJ|2|31|Arraial D'Ajuda|0|5353360|0|0|0|5312391
339|SP|1|31|Arraial D'Ajuda|0|5652911|0|0|0|5646487
276|SP|1|31|Arrozal|0|5724163|0|8851754|0|0
340|SP|1|31|Aruja|0|5725605|11|5495377|11|0
427|SP|1|31|Assai|0|5740266|43|0|43|5718411
307|SP|1|31|Assai|0|5789000|43|2753479|43|0
161|SP|1|31|ASUNCION|0|5882755|0|0|0|0
209|SP|1|31|ASUNCION|0|6041108|0|361834|0|2322699
105|SP|1|31|Atafona|0|6054280|0|6058944|0|6058972
113|SP|1|31|Atafona|0|6068033|0|358015|0|0
2158||0|42|Atilio Vivacqua|2|6955533|28|6955533|28|0
74|SP|1|31|Atlantida|0|7270046|0|0|0|0
256|SP|1|31|Austin|0|8202855|0|0|0|8209834
79|SP|1|31|Avare|0|8252144|14|0|14|0
227|SP|1|31|Avare|0|8266311|14|0|14|8266810
524|SP|1|31|Baependi|0|8359433|35|0|35|8359433
102|SP|1|31|Baependi|0|8467843|35|0|35|0
158|SP|1|31|Baependi|0|8569110|35|0|35|8569880
208|SP|1|31|Bage|0|8569383|53|0|53|0
392|SP|1|31|Bage|0|8584723|53|0|53|8584723
349|SP|1|31|Bage|0|8588499|53|0|53|0
374|SP|1|31|Bage|0|8662560|53|0|53|8662561
388|SA|0|31|Bage|0|8763555|53|0|53|8763555
60|SP|1|31|Bage|0|8831066|53|0|53|8535388
251|SP|1|31|Balneario Arroio Corrente|0|9120488|0|0|0|9125435
192|SP|1|31|Balneario Arroio do Silva|0|9143900|48|0|48|9143957
156|SP|1|31|Balneario Arroio do Silva|0|9149731|48|2723515|48|961639995
153|SP|1|31|Balneario Barra do Sul|0|9181211|47|0|47|9113012
163|SP|1|31|Balneario Barra do Sul|0|9186655|47|0|47|0
222|SP|1|31|Balneario Barra do Sul|0|9186922|47|0|47|9111086
254|SP|1|31|Balneario Bela Torres|0|9408140|0|0|0|9401154
383|SP|1|31|Balneario Camboriu|0|9462175|47|0|47|0
171|SP|1|31|Balneario Camboriu|0|9484111|47|0|47|0
235|SP|1|31|Balneario Camboriu|0|9485366|47|2920301|47|0
398|SP|1|31|Balneario Camboriu|11|20100471|47|943658805|47|48259606
2201|SP|1|31|Balneario Camboriu|0|20151530|47|0|47|0
1952|SP|1|31|Balneario Camboriu|0|20214827|47|20214827|47|0
2232|SP|1|31|Balneario Camboriu|0|20247500|47|20247500|47|0
2119|SP|1|31|Balneario Camboriu|0|20305260|47|20305260|47|0
1851|SP|1|31|Balneario Camboriu|0|20310803|47|0|47|961315756
503|SP|1|31|Balneario Camboriu|0|20363899|47|41193837|47|22531733
1428|SP|1|31|Balneario Camboriu|0|20614224|47|22199200|47|20614224
1935|SP|1|31|Balneario Camboriu|0|20625838|47|38264017|47|0
513|SP|1|31|Balneario Camboriu|0|20655545|47|0|47|29145550
2271|SP|1|31|Balneario Camboriu|0|20659595|47|20659595|47|0
176|SP|1|31|Balneario Camboriu|0|20662300|47|0|47|0
1177|SP|1|31|Balneario Pinhal|0|20669993|51|0|51|20669990
1572|SP|1|31|Balneario Pinhal|0|20678000|51|0|51|961678001
1984|SP|1|31|BALSA|0|20689199|0|961634194|0|0
2169|SP|1|31|BALSA|0|20718304|0|0|0|0
1924|SP|1|31|Bambui|0|20840110|37|0|37|0
2152|SP|1|31|ARMACAO DOS BUZIOS|11|20857211|22|24129335|22|0
283|SP|1|31|Barao de Cocais|11|20857940|31|0|31|24887940
2151|SP|1|31|Barao de Cotegipe|11|20886308|54|24312739|54|0
673|SP|1|31|Barra da Lagoa|11|20889019|11|20889000|0|20889000
2085|SP|1|31|Barra de Caravelas|0|20900620|0|20900620|0|0
2039|SP|1|31|Barra de Sao Francisco|0|20904000|27|0|27|0
1500|SP|1|31|Barra de Sao Francisco|0|20904045|27|29418432|27|20904045
2208|SP|1|31|Barra de Sao Francisco|0|20957400|27|0|27|0
1614|SP|1|31|Barra de Sao Francisco|0|20972475|27|0|27|996833925
1393|SP|1|31|Barra de Sao Francisco|0|20975812|27|0|27|969419821
2117|RN|20|31|Barra de Sao Francisco|84|36433456|27|36431522|27|0
699|SP|1|31|Barra de Sao Francisco|0|20992000|27|0|27|38269080
2118||0|31|Barra de Sao Miguel|0|20993700|82|20993700|82|0
511|SP|1|31|Barra do Garcas|0|21042200|66|0|66|21042201
2022|SP|1|31|Barra do Garcas|0|21044710|66|0|66|0
1358|SP|1|31|Barra do Garcas|16|21049666|66|0|66|21049666
2137|SP|1|31|Barra do Garcas|16|21078000|66|0|66|0
1824|SP|1|31|Barra do Garcas|19|21133999|66|0|66|21133950
2277|SP|1|31|BARRA DO GARCAS|0|21164641|66|21164511|66|0
2126|SP|1|31|BARRA DO GARCAS|0|21219134|66|0|66|0
2214|MG|3|31|Barra do Gil|31|21291200|0|0|0|0
1869|SP|1|31|Barra do Jacuipe|19|21295400|0|0|0|0
1922|SP|1|31|Barra do Jacuipe|16|21330863|16|21330851|0|0
1121|SP|1|31|Barra do Jucu|0|21333233|0|0|0|0
1149|SP|1|31|Barra do Jucu|11|21419500|0|0|11|21419500
2110|SP|1|31|Barra do Jucu|0|21432861|0|0|0|0
1902|SP|1|31|Barra do Jucu|0|21463145|0|21463111|0|0
475|SP|1|31|Barra do Jucu|0|21467999|0|0|0|21467999
1118|SP|1|31|Barra do Jucu|0|21483397|0|0|0|994058047
1877|SP|1|31|Barra do Jucu|0|21666600|0|21666611|0|0
1419|SP|1|31|Barra do Pirai|0|21696652|24|0|24|0
452|SP|1|31|Barra do Pirai|0|21743795|24|30194700|24|21743795
364|SP|1|31|Barra do Pirai|0|21796000|24|0|24|21796000
2124|SP|1|31|Barra do Pirai|0|21960696|24|0|24|0
1376|SP|1|31|Barra do Pirai|0|22030286|24|999451289|24|25015053
1960|SP|1|31|Barra do Pirai|0|22030555|24|0|24|0
2005|SP|1|31|Barra do Pirai|0|22066152|24|22411934|24|0
2281|SP|1|31|Barra do Pirai|0|22077070|24|22077070|24|0
2167|SP|1|31|Barra do Pirai|0|22083652|24|22083651|24|0
1863|SP|1|31|Barra do Pirai|0|22143767|24|22143767|24|0
386|SP|1|31|BARRA DO PIRAI|0|22149000|24|0|24|22149000
177|SP|1|31|Barra do Pojuca|0|22157888|0|0|0|0
356|SP|1|31|Barra do Quarai|0|22191043|55|22190726|55|22191043
2003|SP|1|31|Barra do Riacho|0|22199200|0|22199200|0|0
617|SP|1|31|Barra do Sahy|0|22212063|0|0|0|22219574
1957|SP|1|31|Barracao|0|22214326|54|22217017|54|0
