BRC-351|1|14.61|11.47
BRC-352|1|12.72|9.99
BRC-353|1|14.25|11.19
BRC-354|1|16.14|12.67
BRC-355|1|20|15.7
BRC-356|1|24.14|18.95
BRC-357|1|38.94|30.57
BRC-358|1|53.3|41.84
BRC-361|1|11.15|8.75
BRC-362|1|14.53|11.41
BRC-363|1|18.33|14.39
BRC-364|1|31.86|25.01
BRC-365|1|31.86|25.01
AMH-400|1|55.73|43.75
AMH-401|1|45.2|35.48
AMH-402|1|41.46|32.54
AMH-403|1|28.9|22.68
AMH-403A|1|32.06|25.17
AMH-404|1|28.9|22.68
AMH-405|1|31.22|24.51
AMH-406|1|33.54|26.33
AMH-407|1|44.49|34.93
AMH-408|1|43.35|34.03
AMH-409|1|54.52|42.79
AMH-410|1|51.73|40.61
AMH-421|1|43.65|34.26
AMH-423|1|29.61|23.25
AMH-424|1|30.46|23.91
AMH-440|1|121.25|95.18
ESC-501|1|44.49|34.93
ESC-502|1|45.67|35.85
ESC-503|1|55.94|43.91
ESC-504|1|68.97|54.14
ESC-511|1|40.06|31.45
ESC-512|1|42.4|33.29
ESC-513|1|50.81|39.88
ESC-514|1|65.72|51.59
ESC-521|1|62.61|49.15
ESC-522|1|65.75|51.62
ESC-523|1|80.75|63.39
ESC-524|1|83.42|65.48
ESC-525|1|115.61|90.75
ESC-531|1|58.43|45.86
ESC-532|1|68.97|54.14
ESC-533|1|71.78|56.35
ESC-534|1|89|69.86
ESC-535|1|116.74|91.64
FTD-250|1|52.58|41.28
FTD-251|1|62.57|49.12
FTD-252|1|62.12|48.77
FTD-253|1|80.1|62.88
FTD-254|1|95.42|74.91
FTD-255|1|110.18|86.49
FTD-256|1|134.05|105.23
FTD-257|1|160.23|125.78
FTM-100|1|30.54|23.97
FTM-101|1|26.51|20.81
FTM-102|1|27.49|21.58
FTM-103|1|27.82|21.84
FTM-104|1|34.3|26.92
FTM-105|1|30.46|23.91
FTM-106|1|37.02|29.06
FTM-107|1|46.66|36.63
FTM-108|1|51.25|40.23
FTM-109|1|69.79|54.79
FTM-110|1|81.72|64.15
FTM-111|1|111.82|87.78
FTM-112|1|107.08|84.06
FTM-113|1|165.97|130.28
FTM-114|1|215.94|169.51
FTM-115|1|278.71|218.79
FTM-116|1|329.96|259.02
FTM-120|1|25.04|19.65
FTM-121|1|26.51|20.81
FTM-122|1|27.49|21.58
FTM-123|1|29.43|23.1
FTM-124|1|34.3|26.92
FTM-125|1|32.31|25.36
FTM-126|1|39.02|30.63
FTM-127|1|47.52|37.31
FTM-128|1|53.56|42.04
FTM-129|1|72.7|57.07
FTM-130|1|84.61|66.42
FTM-131|1|114.98|90.26
FTM-132|1|114.58|89.95
FTM-133|1|171.01|134.24
FTM-134|1|220.02|172.71
FTM-135|1|295.21|231.74
FTM-136|1|338.2|265.49
FTM-140|1|31.2|24.49
FTM-141|1|31.2|24.49
FTM-142|1|31.2|24.49
FTM-143|1|31.2|24.49
FTM-144|1|31.2|24.49
FTM-145|1|31.2|24.49
FTM-146|1|57.15|44.86
FTM-147|1|57.15|44.86
FTM-148|1|73.47|57.68
FTM-149|1|102.85|80.74
FTM-150|1|101.58|79.74
FTM-151|1|148.57|116.63
FTM-152|1|141.5|111.07
FTM-153|1|204.99|160.92
FTM-154|1|319.27|250.63
FTM-155|1|422.69|331.81
FTM-156|1|478.91|375.95
FTM-160|1|31.93|25.06
FTM-161|1|30.82|24.2
FTM-162|1|42.32|33.22
FTM-163|1|35.96|28.23
FTM-164|1|40.66|31.92
FTM-165|1|41|32.18
FTM-166|1|42.52|33.38
FTM-167|1|58.98|46.3
FTM-168|1|60.08|47.16
FTM-169|1|82.82|65.01
FTM-170|1|93.06|73.05
FTM-171|1|134.4|105.5
FTM-172|1|121.05|95.02
FTM-173|1|194.6|152.76
FTM-174|1|242.08|190.03
FTM-175|1|308.24|241.97
FTM-176|1|370.31|290.7
FTH-180|1|16.31|12.8
FTH-181|1|16.02|12.58
FTH-182|1|15.84|12.44
FTH-183|1|19.98|15.69
FTH-184|1|18.62|14.62
FTH-185|1|22.19|17.42
FTH-186|1|21.33|16.74
FTH-187|1|25.52|20.03
FTH-188|1|25.52|20.03
FTH-189|1|33.62|26.39
