H-411|10.02|9.02
H-411S|10.60|9.54
H-412|11.09|9.98
H-412S|11.70|10.53
H-413|17.15|15.44
H-413S|17.80|16.02
H-414|21.81|19.63
H-415|45.00|40.50
H-416|85.00|76.50
H-412A|15.08|13.57
H-412AS|15.55|14.00
H-413A|23.98|21.58
H-413AS|24.60|22.14
H-414A|31.00|27.90
H-501|8.94|8.05
H-501S|9.60|8.64
H-502|8.47|7.62
H-502S|9.10|8.19
H-503|13.16|11.84
H-503S|13.80|12.42
H-504|13.02|11.72
H-504S|13.60|12.24
HL-501|12.17|10.95
HL-502|12.17|10.95
HL-503|16.81|15.13
HL-504|17.00|15.30
BRST-431|9.91|8.92
BRST-432|13.53|12.18
BRST-434|19.92|17.93
BRST-435|21.18|19.06
BRST-437|55.91|50.32
BRST-438|57.13|51.42
H-012|43.65|39.29
H-013|51.34|46.21
H-014|87.92|79.13
H-134|84.94|76.45
H-113|82.56|74.30
H-114|129.71|116.74
H-115|249.44|224.50
HT-323-B|146.85|132.17
HT-323-D|200.64|180.58
HT-324-B|160.65|144.59
HT-324-E|210.00|189.00
HT-324-C|220.00|198.00
HT-324-D|767.92|691.13
HEST-556|8.00|7.20
HEST-557|7.80|7.02
HEST-561|9.87|8.89
HEST-562|10.25|9.23
HEST-563|10.69|9.63
HEST-564|12.15|10.93
HEST-564-B|20.09|18.08
HEST-565|17.43|15.69
HEST-566|18.20|16.38
HEST-567|20.29|18.26
HJST-513|11.97|10.77
HJST-518|20.32|18.29
SU-402|5.86|5.27
SU-407|8.49|7.64
SU-409|12.15|10.94
SU-413|12.38|11.14
SU-415|18.55|16.70
SU-417|14.48|13.03
SU-419|18.54|16.69
SU-420|24.23|21.81
SU-421|27.70|24.93
SU-422|38.15|34.34
SU-423|21.35|19.22
SU-427|22.52|20.27
SU-428|30.48|27.43
SU-429|33.56|30.20
SU-430|49.22|44.30
SU-431|39.68|35.71
SU-432|45.79|41.21
SU-433|53.00|47.70
SU-435|64.86|58.37
SU-436|75.37|67.83
SU-439|133.59|120.23
SU-441|130.92|117.83
SU-443|171.63|154.47
SU-602A|2.72|2.45
SU-603|1.85|1.67
SU-604|2.51|2.26
SU-605|4.24|3.82
SU-606|5.62|5.06
SU-608|9.01|8.11
SU-609|12.32|11.09
