6361|0.01|1|33582|
6476|0.01|35|33582|
3973|0.01|8|33582|
3979|0.01|50|33582|
6433|0.01|2|33582|
6462|0.01|1|33582|
6425|0.01|29|33582|
3912|0.01|6|33582|
3913|0.01|135|33582|
6393|0.01|1|33582|
6388|0.01|35|33582|
3949|0.01|28|33582|
6385|0.01|13|33582|
6362|0.01|1|33582|
3979|0.01|5|33582|
3980|0.01|16|33582|
6434|0.01|6|33582|
6463|0.01|3|33582|
3918|0.01|21|33582|
3919|0.01|15|33582|
6410|0.01|8|33582|
6416|0.01|6|33582|
2004|0.01|300|33583|
2007|0.01|1.000|33583|
2015|0.01|300|33583|
2022|0.01|150|33583|
2007|0.01|200|33583|
2021|0.01|660|33583|
2029|0.01|58|33583|
2001|0.01|34|33583|
2002|0.01|33|33583|
2005|0.01|595|33583|
2013|0.01|100|33583|
2019|0.01|770|33583|
2065|0.01|100|33583|
2071|0.01|660|33583|
2006|0.01|150|33583|
2014|0.01|56|33583|
2045|0.01|1.100|33583|
2049|0.01|330|33583|
2035|0.01|250|33583|
5442|0.01|46|33583|
3822|0.01|40|33583|
2057|0.01|36|33583|
2058|0.01|139|33583|
2038|0.01|230|33583|
2059|0.01|45|33583|
2039|0.01|80|33583|
2062|0.01|17|33583|
2042|0.01|16|33583|
1998|0.01|44|33583|
2603|0.01|45|33583|
1952|0.01|325|33583|
1953|0.01|247|33583|
1955|0.01|177|33583|
4830|0.01|31|33583|
1972|0.01|5|33583|
1906|0.01|14|33583|
1908|0.01|55|33583|
1927|0.01|35|33583|
1945|0.01|46|33583|
2010|0.01|500|33584|
2022|0.01|34|33584|
2029|0.01|22|33584|
2019|0.01|500|33584|
2026|0.01|200|33584|
2027|0.01|200|33584|
2044|0.01|200|33584|
2046|0.01|700|33584|
5809|0.01|100|33584|
2035|0.01|200|33584|
2055|0.01|170|33584|
1999|0.01|17|33584|
5882|0.01|14|33584|
5883|0.01|5|33584|
1951|0.01|20|33584|
1955|0.01|460|33584|
1940|0.01|900|33584|
1957|0.01|400|33584|
1966|0.01|12|33584|
1976|0.01|350|33584|
1977|0.01|200|33584|
1986|0.01|26|33584|
1987|0.01|15|33584|
6484|0.01|100|33584|
4432|0.01|181|33584|
4301|0.01|169|33584|
