2004|0.01|47|33582|
2007|0.01|24|33582|
2012|0.01|75|33582|
2015|0.01|126|33582|
2011|0.01|525|33582|
2022|0.01|5|33582|
2007|0.01|39|33582|
2021|0.01|28|33582|
2025|0.01|154|33582|
2028|0.01|25|33582|
2032|0.01|118|33582|
2001|0.01|22|33582|
5858|0.01|16|33582|
5862|0.01|11|33582|
2002|0.01|7|33582|
2005|0.01|237|33582|
2008|0.01|508|33582|
2013|0.01|1|33582|
2016|0.01|309|33582|
2023|0.01|8|33582|
2019|0.01|216|33582|
2026|0.01|63|33582|
2033|0.01|19|33582|
2065|0.01|57|33582|
2067|0.01|6|33582|
2071|0.01|179|33582|
2069|0.01|156|33582|
2006|0.01|57|33582|
2009|0.01|41|33582|
2014|0.01|12|33582|
2017|0.01|46|33582|
2024|0.01|76|33582|
2020|0.01|161|33582|
2031|0.01|32|33582|
2034|0.01|37|33582|
2003|0.01|42|33582|
2070|0.01|70|33582|
1941|0.01|31|33582|
1943|0.01|7|33582|
2044|0.01|199|33582|
2045|0.01|50|33582|
3814|0.01|2|33582|
2046|0.01|306|33582|
2063|0.01|42|33582|
2047|0.01|16|33582|
2048|0.01|24|33582|
5809|0.01|18|33582|
2064|0.01|195|33582|
2049|0.01|16|33582|
5811|0.01|44|33582|
4372|0.01|89|33582|
5813|0.01|25|33582|
2050|0.01|74|33582|
2051|0.01|79|33582|
2035|0.01|185|33582|
4339|0.01|75|33582|
5442|0.01|58|33582|
2052|0.01|25|33582|
2053|0.01|66|33582|
2054|0.01|321|33582|
2036|0.01|191|33582|
2055|0.01|164|33582|
2056|0.01|27|33582|
6843|0.01|1|33582|
2037|0.01|43|33582|
5817|0.01|9|33582|
5827|0.01|2|33582|
7943|0.01|22|33582|
5819|0.01|37|33582|
2057|0.01|2|33582|
7731|0.01|1|33582|
2058|0.01|25|33582|
7944|0.01|2|33582|
2038|0.01|21|33582|
5821|0.01|14|33582|
5825|0.01|24|33582|
2039|0.01|44|33582|
5827|0.01|18|33582|
2060|0.01|17|33582|
5829|0.01|30|33582|
2040|0.01|49|33582|
2061|0.01|113|33582|
2041|0.01|7|33582|
2042|0.01|32|33582|
5841|0.01|3|33582|
5843|0.01|1|33582|
5863|0.01|1|33582|
1996|0.01|10|33582|
1998|0.01|170|33582|
1999|0.01|9|33582|
2000|0.01|8|33582|
1953|0.01|45|33582|
4777|0.01|21|33582|
2953|0.01|49|33582|
4660|0.01|2|33582|
1950|0.01|8|33582|
1952|0.01|17|33582|
1953|0.01|45|33582|
7730|0.01|79|33582|
1955|0.01|94|33582|
4830|0.01|24|33582|
1938|0.01|17|33582|
1940|0.01|125|33582|
1957|0.01|118|33582|
1959|0.01|15|33582|
1958|0.01|64|33582|
1965|0.01|4|33582|
1968|0.01|43|33582|
1971|0.01|3|33582|
1973|0.01|8|33582|
5973|0.01|6|33582|
5974|0.01|1|33582|
5291|0.01|3|33582|
1956|0.01|1|33582|
1960|0.01|3|33582|
1962|0.01|5|33582|
1967|0.01|9|33582|
1974|0.01|11|33582|
1980|0.01|10|33582|
1937|0.01|2|33582|
3793|0.01|3|33582|
1976|0.01|167|33582|
1977|0.01|92|33582|
1978|0.01|13|33582|
1979|0.01|144|33582|
1975|0.01|23|33582|
1985|0.01|44|33582|
1987|0.01|1|33582|
1989|0.01|13|33582|
1990|0.01|56|33582|
4254|0.01|2|33582|
4260|0.01|8|33582|
4257|0.01|2|33582|
4272|0.01|25|33582|
4288|0.01|5|33582|
4291|0.01|1|33582|
4255|0.01|1|33582|
4251|0.01|8|33582|
1888|0.01|2|33582|
1893|0.01|17|33582|
1896|0.01|19|33582|
1899|0.01|61|33582|
1907|0.01|21|33582|
1906|0.01|5|33582|
1908|0.01|1|33582|
1933|0.01|3|33582|
1882|0.01|1|33582|
3793|0.01|9|33582|
1912|0.01|2|33582|
1910|0.01|9|33582|
1914|0.01|19|33582|
1911|0.01|8|33582|
1909|0.01|3|33582|
4282|0.01|13|33582|
4281|0.01|1|33582|
4284|0.01|5|33582|
1929|0.01|8|33582|
5942|0.01|4|33582|
4919|0.01|17|33582|
1930|0.01|56|33582|
4287|0.01|14|33582|
5943|0.01|4|33582|
1915|0.01|41|33582|
1916|0.01|53|33582|
4274|0.01|5|33582|
3849|0.01|19|33582|
1917|0.01|30|33582|
1918|0.01|41|33582|
1919|0.01|61|33582|
1921|0.01|10|33582|
1922|0.01|36|33582|
1986|0.01|2|33582|
5941|0.01|13|33582|
5946|0.01|6|33582|
5942|0.01|2|33582|
1924|0.01|7|33582|
1926|0.01|1|33582|
5951|0.01|3|33582|
5953|0.01|1|33582|
1928|0.01|7|33582|
12073|0.01|5|33582|
3832|0.01|2|33582|
1948|0.01|4|33582|
1949|0.01|42|33582|
1945|0.01|76|33582|
1946|0.01|35|33582|
2063|0.01|3|33582|ECLIPSE
7943|0.01|4|33582|ECLIPSE
5819|0.01|4|33582|ECLIPSE
5837|0.01|1|33582|ECLIPSE
5841|0.01|1|33582|ECLIPSE
7731|0.01|6|33582|ECLIPSE
1957|0.01|2|33582|ECLIPSE
1965|0.01|4|33582|ECLIPSE
1968|0.01|7|33582|ECLIPSE
1970|0.01|1|33582|ECLIPSE
1973|0.01|10|33582|ECLIPSE
5969|0.01|3|33582|ECLIPSE
5973|0.01|7|33582|ECLIPSE
1984|0.01|6|33582|ECLIPSE
1992|0.01|3|33582|ECLIPSE
1992|0.01|1|33582|ECLIPSE
1978|0.01|5|33582|ECLIPSE
1990|0.01|11|33582|ECLIPSE
1882|0.01|1|33582|ECLIPSE
1935|0.01|1|33582|ECLIPSE
1934|0.01|22|33582|ECLIPSE
1910|0.01|5|33582|ECLIPSE
1910|0.01|33|33582|ECLIPSE
1914|0.01|11|33582|ECLIPSE
1914|0.01|8|33582|ECLIPSE
3794|0.01|4|33582|ECLIPSE
5938|0.01|2|33582|ECLIPSE
5935|0.01|18|33582|ECLIPSE
5940|0.01|6|33582|ECLIPSE
1929|0.01|9|33582|ECLIPSE
5942|0.01|11|33582|ECLIPSE
5943|0.01|10|33582|ECLIPSE
5944|0.01|3|33582|ECLIPSE
1915|0.01|1|33582|ECLIPSE
3849|0.01|1|33582|ECLIPSE
1917|0.01|6|33582|ECLIPSE
1920|0.01|2|33582|ECLIPSE
5946|0.01|11|33582|ECLIPSE
5942|0.01|9|33582|ECLIPSE
1923|0.01|4|33582|ECLIPSE
4022|0.01|6|33582|ECLIPSE
1925|0.01|10|33582|ECLIPSE
5949|0.01|4|33582|ECLIPSE
4278|0.01|2|33582|ECLIPSE
5951|0.01|7|33582|ECLIPSE
5952|0.01|7|33582|ECLIPSE
4278|0.01|2|33582|ECLIPSE
